candidate,dataset,fdt_present,file,label_counts,n_events,n_streams,participant_id,sha256,size_bytes,trial_type_counts,xdf_streams
/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/neuma,neuma,,/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/neuma/S01.xdf,,,5,S01,,13160585,,"[""MyMarkerStream3"", ""MouseButtons"", ""Tobii"", ""MousePosition"", ""WS-default""]"
/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/neuma,neuma,,/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/neuma/S02.xdf,,,5,S02,,14471269,,"[""WS-default"", ""MouseButtons"", ""Tobii"", ""MyMarkerStream3"", ""MousePosition""]"
/mnt/Neuma_Model/DataSource,neuma,,/mnt/Neuma_Model/DataSource/S01.xdf,,,5,S01,,13160585,,"[""MyMarkerStream3"", ""MouseButtons"", ""Tobii"", ""MousePosition"", ""WS-default""]"
/mnt/Neuma_Model/DataSource,neuma,,/mnt/Neuma_Model/DataSource/S02.xdf,,,5,S02,,14471269,,"[""WS-default"", ""MouseButtons"", ""Tobii"", ""MyMarkerStream3"", ""MousePosition""]"
/home/nvidia/24PHD1314/Quality-Aware-Consumer-Response/data/neuma_raw,neuma,,/home/nvidia/24PHD1314/Quality-Aware-Consumer-Response/data/neuma_raw/S01.xdf,,,5,S01,,13160585,,"[""MyMarkerStream3"", ""MouseButtons"", ""Tobii"", ""MousePosition"", ""WS-default""]"
/home/nvidia/24PHD1314/Quality-Aware-Consumer-Response/data/neuma_raw,neuma,,/home/nvidia/24PHD1314/Quality-Aware-Consumer-Response/data/neuma_raw/S02.xdf,,,5,S02,,14471269,,"[""WS-default"", ""MouseButtons"", ""Tobii"", ""MyMarkerStream3"", ""MousePosition""]"
/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing,restaurant_logo,,/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing/Subject 1/Sub1_Test.set,,,,P001,,285304,,
/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing,restaurant_logo,,/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing/Subject 10/Sub10_Test.set,,,,P010,,286824,,
/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing,restaurant_logo,,/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing/Subject 11/Sub11_Test.set,,,,P011,,289728,,
/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing,restaurant_logo,,/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing/Subject 12/Sub12_Test.set,,,,P012,,285744,,
/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing,restaurant_logo,,/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing/Subject 13/Sub13_Test.set,,,,P013,,287072,,
/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing,restaurant_logo,,/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing/Subject 14/Sub14_Test.set,,,,P014,,282008,,
/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing,restaurant_logo,,/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing/Subject 15/Sub15_Test.set,,,,P015,,285040,,
/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing,restaurant_logo,,/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing/Subject 2/Sub2_Test.set,,,,P002,,283088,,
/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing,restaurant_logo,,/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing/Subject 3/Sub3_Test.set,,,,P003,,500904,,
/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing,restaurant_logo,,/home/nvidia/24PHD1314/eeg-crossdomain-workspace/data/raw/restaurant_logo/Neuromarketing/Subject 4/Sub4_Test.set,,,,P004,,282760,,
