dataset,model,comparison,n_pairs,mean_a,mean_b,mean_diff,ci_lo,ci_hi,wilcoxon_p,perm_p,cohen_dz,cliffs_delta,wins,ties,losses,wilcoxon_p_holm
ds007406,deepconvnet,epochwise - subjectwise (MCC),10,-0.13396323471571564,-0.0006426532270668042,-0.13332058148864886,-0.31497991546707377,0.049118179850839994,0.275390625,0.20237976202379762,-0.42799652973149593,-0.36,5,0,5,1.0
ds007406,deepconvnet,subjectwise - permuted_null (MCC),10,-0.0006426532270668042,-0.06977042163586723,0.06912776840880042,-0.09620657877399405,0.20701919302890395,0.5703125,0.42855714428557146,0.2645627731515649,0.22,7,1,2,1.0
ds007406,deepconvnet,epochwise - permuted_null (MCC),10,-0.13396323471571564,-0.06977042163586723,-0.06419281307984845,-0.1757127271747876,0.059374694208403654,0.375,0.3360663933606639,-0.31635831192277974,-0.06,4,0,6,1.0
ds007406,eegnet,epochwise - subjectwise (MCC),10,-0.06698161735785783,0.08861656937412352,-0.15559818673198134,-0.2799864089147245,-0.03563613982654968,0.048828125,0.04989501049895011,-0.7410106609260348,-0.42,2,0,8,0.48828125
ds007406,eegnet,subjectwise - permuted_null (MCC),10,0.08861656937412352,-0.020808802290397617,0.10942537166452113,-0.06241364684819242,0.27509114142388763,0.322265625,0.25517448255174485,0.37640922406407484,0.32,7,0,3,1.0
ds007406,eegnet,epochwise - permuted_null (MCC),10,-0.06698161735785783,-0.020808802290397617,-0.0461728150674602,-0.1692419900554895,0.05981693718708551,0.65234375,0.5933406659334066,-0.23488813196518463,-0.15,4,1,5,1.0
ds007406,logreg,epochwise - subjectwise (MCC),10,-0.05203067944372926,0.12064724881785278,-0.17267792826158204,-0.3097741779860621,0.011054446985206853,0.12890625,0.07849215078492151,-0.6325369556214857,-0.58,1,1,8,1.0
ds007406,logreg,subjectwise - permuted_null (MCC),10,0.12064724881785278,-0.041617604580795234,0.16226485339864805,0.02226110522676908,0.3071391683030874,0.078125,0.0724927507249275,0.6562718449901143,0.64,6,2,2,0.859375
ds007406,logreg,epochwise - permuted_null (MCC),10,-0.05203067944372926,-0.041617604580795234,-0.010413074862934024,-0.16507301036214383,0.15234563013492047,0.91015625,0.9101089891010898,-0.038153575127671896,-0.18,4,1,5,1.0
ds007406,svm_rbf,epochwise - subjectwise (MCC),10,-0.08991922326372759,0.04925922260119033,-0.13917844586491793,-0.2211283485723748,-0.060974951353728435,0.009765625,0.011398860113988602,-1.04214097732388,-0.52,2,0,8,0.1171875
ds007406,svm_rbf,subjectwise - permuted_null (MCC),10,0.04925922260119033,-0.029586925137065963,0.0788461477382563,-0.04619016250293066,0.2172162249986634,0.640625,0.34966503349665035,0.34280772813589144,0.26,5,2,3,1.0
ds007406,svm_rbf,epochwise - permuted_null (MCC),10,-0.08991922326372759,-0.029586925137065963,-0.06033229812666163,-0.2038998054149137,0.0786630849253418,0.322265625,0.44925507449255075,-0.2541445422560104,-0.26,3,0,7,1.0
neuma,deepconvnet,epochwise - subjectwise (MCC),42,-0.01104616887279128,-0.0004562095048968638,-0.010589959367894416,-0.03601555229731904,0.011906583800582,0.8045475412036467,0.4072592740725927,-0.13150843776494564,-0.017006802721088437,22,0,20,1.0
neuma,deepconvnet,subjectwise - permuted_null (MCC),42,-0.0004562095048968638,0.0002801590491919127,-0.0007363685540887765,-0.025666750232002166,0.02587229951948192,0.44214371681528064,0.9578042195780422,-0.008556796878659163,-0.05328798185941043,15,0,27,1.0
neuma,deepconvnet,epochwise - permuted_null (MCC),42,-0.01104616887279128,0.0002801590491919127,-0.011326327921983195,-0.036429186361245085,0.012073661573549633,0.5114121537235405,0.38366163383661633,-0.13609884644218279,-0.024943310657596373,21,0,21,1.0
neuma,eegnet,epochwise - subjectwise (MCC),42,0.004368690601765192,-0.0007419075315001207,0.005110598133265313,-0.012157504080507569,0.023078731991835567,0.8722249810880385,0.5906409359064093,0.08446050415520896,0.034013605442176874,21,0,21,1.0
neuma,eegnet,subjectwise - permuted_null (MCC),42,-0.0007419075315001207,-0.007222547012878427,0.006480639481378307,-0.014140922979651362,0.026651152310173908,0.6030205487700186,0.5396460353964604,0.09495020042224182,0.07482993197278912,24,0,18,1.0
neuma,eegnet,epochwise - permuted_null (MCC),42,0.004368690601765192,-0.007222547012878427,0.011591237614643618,-0.011720820520138245,0.03479281415367806,0.32065961358739514,0.3431656834316568,0.1472004155679165,0.10997732426303855,23,0,19,1.0
neuma,logreg,epochwise - subjectwise (MCC),42,0.03263447033565,0.03544641094725186,-0.002811940611601855,-0.01823262168226676,0.011985679446476119,0.794983243567458,0.7228277172282772,-0.05515555878237787,-0.05328798185941043,21,0,21,1.0
neuma,logreg,subjectwise - permuted_null (MCC),42,0.03544641094725186,0.008161717687428308,0.02728469325982355,-0.0014379758318564815,0.0542208535329189,0.02495414577833799,0.0670932906709329,0.289801457411079,0.31746031746031744,26,0,16,0.29944974934005586
neuma,logreg,epochwise - permuted_null (MCC),42,0.03263447033565,0.008161717687428308,0.024472752648221695,-0.005448430233868648,0.05337686903150277,0.0519549725440811,0.12618738126187382,0.24279238780869788,0.21768707482993196,25,0,17,0.5715046979848921
neuma,svm_rbf,epochwise - subjectwise (MCC),42,-0.010101353924322324,0.00031762008690485464,-0.010418974011227175,-0.03411228951807242,0.012642484616523713,0.49555560536464327,0.39266073392660733,-0.13457465163109503,-0.12244897959183673,17,0,25,1.0
neuma,svm_rbf,subjectwise - permuted_null (MCC),42,0.00031762008690485464,-0.01083385097240291,0.011151471059307768,-0.006536964957517558,0.02987741520981829,0.5194365245865811,0.2512748725127487,0.17989575282937753,0.1473922902494331,23,0,19,1.0
neuma,svm_rbf,epochwise - permuted_null (MCC),42,-0.010101353924322324,-0.01083385097240291,0.0007324970480805914,-0.02124139931113966,0.02124777453734055,0.5356738543805477,0.9474052594740526,0.010314151221208578,0.0011337868480725624,25,0,17,1.0
restaurant_logo,deepconvnet,epochwise - subjectwise (MCC),15,0.007850523758748435,-0.01514879501868391,0.02299931877743234,-0.03055258595070421,0.07206213544106009,0.33026123046875,0.40035996400359963,0.21902909609815996,0.15555555555555556,11,0,4,1.0
restaurant_logo,deepconvnet,subjectwise - permuted_null (MCC),15,-0.01514879501868391,-0.00412418397086197,-0.011024611047821936,-0.07946428603842803,0.058004397095154696,0.76153564453125,0.7705229477052294,-0.07755780751798981,-0.08444444444444445,8,0,7,1.0
restaurant_logo,deepconvnet,epochwise - permuted_null (MCC),15,0.007850523758748435,-0.00412418397086197,0.011974707729610404,-0.05719216517267565,0.08433531041820036,0.93408203125,0.7512248775122488,0.08265707495285943,0.04,9,0,6,1.0
