dataset,protocol,model,seed,subject_id,threshold,n_trials,single_class,mcc,kappa,balanced_accuracy,pr_auc,roc_auc,macro_f1,sensitivity,specificity,ece,accuracy
ds007406,epochwise,deepconvnet,0,sub-001,0.6688698513507844,6,0,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.8666666666666667,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16908897008332938,0.6666666666666666
ds007406,epochwise,deepconvnet,0,sub-002,0.4154199573596319,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.8333333333333333,0.6666666666666666,0.25,0.6666666666666666,0.0,0.2407721393638187,0.3333333333333333
ds007406,epochwise,deepconvnet,0,sub-003,0.6688698513507844,6,0,0.0,0.0,0.5,0.6666666666666667,0.4444444444444444,0.4857142857142857,0.3333333333333333,0.6666666666666666,0.19499589262737166,0.5
ds007406,epochwise,deepconvnet,0,sub-004,0.6688698513507844,6,0,-0.3333333333333333,-0.33333333333333326,0.3333333333333333,0.41111111111111115,0.11111111111111112,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4773817588885625,0.3333333333333333
ds007406,epochwise,deepconvnet,0,sub-005,0.4154199573596319,6,0,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.6388888888888888,0.6666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25267596433146133,0.6666666666666666
ds007406,epochwise,deepconvnet,0,sub-006,0.6688698513507844,6,0,0.0,0.0,0.5,0.5888888888888889,0.5555555555555556,0.4857142857142857,0.6666666666666666,0.3333333333333333,0.14600595782200498,0.5
ds007406,epochwise,deepconvnet,0,sub-007,0.6688698513507844,6,0,0.0,0.0,0.5,0.6333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.18557168708907235,0.5
ds007406,epochwise,deepconvnet,0,sub-008,0.4154199573596319,6,0,-0.7071067811865476,-0.6666666666666667,0.16666666666666666,0.38333333333333336,0.0,0.14285714285714285,0.3333333333333333,0.0,0.22977336889339822,0.16666666666666666
ds007406,epochwise,deepconvnet,0,sub-009,0.6688698513507844,6,0,0.7071067811865476,0.6666666666666667,0.8333333333333333,0.9166666666666665,0.888888888888889,0.8285714285714285,0.6666666666666666,1.0,0.22057306865851078,0.8333333333333334
ds007406,epochwise,deepconvnet,0,sub-010,0.6688698513507844,6,0,-0.7071067811865476,-0.6666666666666667,0.16666666666666666,0.38333333333333336,0.0,0.14285714285714285,0.0,0.3333333333333333,0.5768901215659247,0.16666666666666666
ds007406,epochwise,deepconvnet,1,sub-001,0.5856797841588656,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.5333333333333333,0.4444444444444445,0.25,0.0,0.6666666666666666,0.29511185508874604,0.3333333333333333
ds007406,epochwise,deepconvnet,1,sub-002,0.5856797841588656,6,0,0.0,0.0,0.5,0.5555555555555556,0.4444444444444445,0.3333333333333333,0.0,1.0,0.04086661123567159,0.5
ds007406,epochwise,deepconvnet,1,sub-003,0.5856797841588656,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.6333333333333333,0.3333333333333333,0.625,0.3333333333333333,1.0,0.5059481902254952,0.6666666666666666
ds007406,epochwise,deepconvnet,1,sub-004,0.5856797841588656,6,0,0.0,0.0,0.5,0.5888888888888889,0.5555555555555556,0.3333333333333333,0.0,1.0,0.06840062095887134,0.5
ds007406,epochwise,deepconvnet,1,sub-005,0.5856797841588656,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.5888888888888889,0.5555555555555556,0.25,0.0,0.6666666666666666,0.15423713806602685,0.3333333333333333
ds007406,epochwise,deepconvnet,1,sub-006,0.5856797841588656,6,0,0.0,0.0,0.5,0.5555555555555556,0.4444444444444445,0.3333333333333333,0.0,1.0,0.14279841201172935,0.5
ds007406,epochwise,deepconvnet,1,sub-007,0.5856797841588656,6,0,0.0,0.0,0.5,0.5,0.33333333333333337,0.3333333333333333,0.0,1.0,0.20082710494558945,0.5
ds007406,epochwise,deepconvnet,1,sub-008,0.5856797841588656,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.4444444444444445,0.22222222222222224,0.25,0.0,0.6666666666666666,0.04086513651741876,0.3333333333333333
ds007406,epochwise,deepconvnet,1,sub-009,0.5542486134966215,6,0,0.0,0.0,0.5,0.7555555555555555,0.6666666666666667,0.3333333333333333,0.0,1.0,0.1263051178306341,0.5
ds007406,epochwise,deepconvnet,1,sub-010,0.5856797841588656,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.7222222222222222,0.5555555555555556,0.625,0.3333333333333333,1.0,0.046572734249962736,0.6666666666666666
ds007406,epochwise,deepconvnet,2,sub-001,0.5256599037051201,6,0,0.0,0.0,0.5,0.6666666666666667,0.4444444444444444,0.4857142857142857,0.3333333333333333,0.6666666666666666,0.05116202495895165,0.5
ds007406,epochwise,deepconvnet,2,sub-002,0.5256599037051201,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.5555555555555556,0.4444444444444445,0.25,0.6666666666666666,0.0,0.09246379711613475,0.3333333333333333
ds007406,epochwise,deepconvnet,2,sub-003,0.5256599037051201,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.6333333333333333,0.3333333333333333,0.25,0.6666666666666666,0.0,0.35154763062795,0.3333333333333333
