dataset,protocol,model,seed,n_trials,n_subjects,mcc,kappa,balanced_accuracy,pr_auc,roc_auc,macro_f1,sensitivity,specificity,ece,accuracy
ds007406,epochwise,deepconvnet,0,60,10,-0.2345088235604828,-0.2333333333333334,0.3833333333333333,0.5624701952303497,0.4488888888888889,0.3817878028404344,0.43333333333333335,0.3333333333333333,0.1706436447944078,0.38333333333333336
ds007406,epochwise,deepconvnet,1,60,10,-0.167506302543202,-0.16666666666666674,0.41666666666666663,0.47091869441726547,0.4444444444444445,0.4152046783625731,0.4666666666666667,0.36666666666666664,0.0753713062142682,0.4166666666666667
ds007406,epochwise,deepconvnet,2,60,10,-0.40089186286863654,-0.3999999999999999,0.3,0.4574819301937737,0.3911111111111111,0.2992213570634038,0.26666666666666666,0.3333333333333333,0.17645390280467735,0.3
ds007406,epochwise,deepconvnet,3,60,10,-0.3363363969981562,-0.33333333333333326,0.33333333333333337,0.4394975308624938,0.36777777777777776,0.33035714285714285,0.4,0.26666666666666666,0.1791210799099321,0.3333333333333333
ds007406,epochwise,deepconvnet,4,60,10,-0.23346307108777453,-0.2333333333333334,0.3833333333333333,0.5494578530217357,0.48666666666666664,0.38316198944151153,0.36666666666666664,0.4,0.05257018319175889,0.38333333333333336
ds007406,epochwise,eegnet,0,60,10,0.0668153104781061,0.06666666666666665,0.5333333333333333,0.5297238154773946,0.5311111111111111,0.5328142380422691,0.5666666666666667,0.5,0.013968036132347253,0.5333333333333333
ds007406,epochwise,eegnet,1,60,10,-0.20044593143431827,-0.19999999999999996,0.4,0.5050333655332316,0.5033333333333334,0.3993325917686318,0.36666666666666664,0.43333333333333335,0.018965054473762087,0.4
ds007406,epochwise,eegnet,2,60,10,0.033351867298253506,0.033333333333333326,0.5166666666666666,0.4943035622528668,0.51,0.5165323701028064,0.5,0.5333333333333333,0.005093796349441002,0.5166666666666667
ds007406,epochwise,eegnet,3,60,10,-0.033501260508640406,-0.03333333333333344,0.48333333333333334,0.5221882645263133,0.5233333333333334,0.48203842940685043,0.43333333333333335,0.5333333333333333,0.031675577322021135,0.48333333333333334
ds007406,epochwise,eegnet,4,60,10,0.0,0.0,0.5,0.5221695562523481,0.5277777777777778,0.4949494949494949,0.6,0.4,0.0667087017330859,0.5
ds007406,epochwise,logreg,0,60,10,0.10005560189476051,0.09999999999999998,0.55,0.5233447829546574,0.5311111111111111,0.5498749652681301,0.5666666666666667,0.5333333333333333,0.20975145113333335,0.55
ds007406,epochwise,logreg,1,60,10,0.0,0.0,0.5,0.5308237544818922,0.4988888888888889,0.5,0.5,0.5,0.24868190768333337,0.5
ds007406,epochwise,logreg,2,60,10,-0.2,-0.19999999999999996,0.4,0.41663486381506004,0.35444444444444445,0.4,0.4,0.4,0.34671315078333337,0.4
