dataset,protocol,model,metric,n_participants,n_single_class_excluded,participant_mean,ci_lo,ci_hi,pooled_mean_over_seeds,pooled_sd_over_seeds,n_seeds
ds007406,epochwise,deepconvnet,mcc,10,0,-0.13396323471571564,-0.27687074134143047,0.003302036693884249,-0.2745412914116504,0.08310187662291976,5
ds007406,epochwise,eegnet,mcc,10,0,-0.06698161735785783,-0.16079605044571313,0.02002106747616691,-0.026756002833319813,0.09305710097861651,5
ds007406,epochwise,logreg,mcc,10,0,-0.05203067944372926,-0.20386554422985953,0.13089704723924528,-0.05390568442036685,0.10499796415223317,5
ds007406,epochwise,svm_rbf,mcc,10,0,-0.08991922326372759,-0.17559818673198135,-0.0058752118117395,-0.10542622334311702,0.13124882910835786,5
ds007406,permuted_subjectwise,deepconvnet,mcc,10,0,-0.06977042163586723,-0.17611310580735476,0.04062490023689187,-0.06673140186431699,0.1863448486740255,5
ds007406,permuted_subjectwise,eegnet,mcc,10,0,-0.020808802290397617,-0.15967473640002708,0.11429509097817452,-0.02338907570816636,0.11948160374569927,5
ds007406,permuted_subjectwise,logreg,mcc,10,0,-0.041617604580795234,-0.11870521987767572,0.04455936421324821,-0.041505653478243275,0.1078932993410323,5
ds007406,permuted_subjectwise,svm_rbf,mcc,10,0,-0.029586925137065963,-0.11430828468706175,0.05822084194665994,-0.03389547733799862,0.052107642073806304,5
ds007406,subjectwise,deepconvnet,mcc,10,0,-0.0006426532270668042,-0.09529514864488357,0.08716511385665911,-0.00640181793302049,0.06635329828512826,5
ds007406,subjectwise,eegnet,mcc,10,0,0.08861656937412352,-0.03103838065453038,0.20015383090453312,0.07799690204047509,0.1419559822565097,5
ds007406,subjectwise,logreg,mcc,10,0,0.12064724881785278,0.04033229812666162,0.22048484792640075,0.10479724401374557,0.05850449311371838,5
ds007406,subjectwise,svm_rbf,mcc,10,0,0.04925922260119033,-0.03041307486293403,0.12957417329238147,0.05014416006727499,0.04560923508078755,5
neuma,epochwise,deepconvnet,mcc,42,0,-0.01104616887279128,-0.03383203140536233,0.010135893839019845,0.006692414202456654,0.0016900023505507394,5
neuma,epochwise,eegnet,mcc,42,0,0.004368690601765192,-0.015602431693245378,0.02489102831767074,0.0017040020307379957,0.006908154233616174,5
neuma,epochwise,logreg,mcc,42,0,0.03263447033565,0.0036254019947755487,0.05929646243471264,0.04450938730408703,0.009306073986284915,5
neuma,epochwise,svm_rbf,mcc,42,0,-0.010101353924322324,-0.02552881900503339,0.005011072229509335,0.005854987898230269,0.007162969511851199,5
neuma,permuted_subjectwise,deepconvnet,mcc,42,0,0.0002801590491919127,-0.012145791824853727,0.01269938469922153,0.000771121585755518,0.01683768302463873,5
neuma,permuted_subjectwise,eegnet,mcc,42,0,-0.007222547012878427,-0.021864967477741547,0.008207356699936283,-0.011534963063802998,0.004644185792496261,5
neuma,permuted_subjectwise,logreg,mcc,42,0,0.008161717687428308,-0.004541326266286463,0.02035269351038031,0.01003770569885844,0.017971786298542812,5
neuma,permuted_subjectwise,svm_rbf,mcc,42,0,-0.01083385097240291,-0.024693977152269356,0.0026256324331184184,-0.017838109514126822,0.01217208749673349,5
neuma,subjectwise,deepconvnet,mcc,42,0,-0.0004562095048968638,-0.02255055986078946,0.021906413438035576,-0.002547755841685094,0.01458922293310464,5
neuma,subjectwise,eegnet,mcc,42,0,-0.0007419075315001207,-0.019315566232640344,0.017365797216068176,0.0006021861670318272,0.01909053756418906,5
neuma,subjectwise,logreg,mcc,42,0,0.03544641094725186,0.008815491226272211,0.06099458655588111,0.03384240538003581,0.00995585472929883,5
neuma,subjectwise,svm_rbf,mcc,42,0,0.00031762008690485464,-0.015044454044965756,0.016146808131505846,0.0012165863337610491,0.016646601880307005,5
restaurant_logo,epochwise,deepconvnet,mcc,15,0,0.007850523758748435,-0.037096462946118645,0.05753589520692397,0.027248073315757577,0.04014210509250838,5
restaurant_logo,epochwise,eegnet,mcc,15,0,0.03211160188496789,-0.018611183407142722,0.08141780817210245,0.018038787493503364,0.039237119566963484,5
restaurant_logo,epochwise,logreg,mcc,15,0,0.1731440774391456,0.09623236382015214,0.25430168755616506,0.22396522922749784,0.045013639789921935,5
restaurant_logo,epochwise,svm_rbf,mcc,15,0,-0.014144172255582815,-0.05996160574114739,0.030962228972212395,0.01744809081419819,0.05478873009876405,5
restaurant_logo,permuted_subjectwise,deepconvnet,mcc,15,0,-0.00412418397086197,-0.044489484699538,0.03682759559255156,-0.03383135222216631,0.05408986653007956,5
restaurant_logo,permuted_subjectwise,eegnet,mcc,15,0,0.015671993423768366,-0.02945137725830713,0.06706800596910754,0.007965969706227613,0.04625048677386398,5
restaurant_logo,permuted_subjectwise,logreg,mcc,15,0,0.01583536337006754,-0.030993486218958366,0.05750314727081683,-0.001817490795037066,0.07879470916357163,5
