dataset,protocol,metric,a,b,n_pairs,mean_a,mean_b,mean_diff,ci_lo,ci_hi,wilcoxon_p,perm_p,cohen_dz,cliffs_delta,wins,ties,losses,wilcoxon_p_holm,perm_p_holm
ds007406,subjectwise,balanced_accuracy,deepconvnet,eegnet,10,0.4966666666666667,0.5366666666666665,-0.039999999999999994,-0.07333333333333333,-0.009999999999999998,0.078125,0.07789221077892211,-0.7410482726333564,-0.29,1,3,6,1.0,1.0
ds007406,subjectwise,balanced_accuracy,deepconvnet,logreg,10,0.4966666666666667,0.55,-0.05333333333333333,-0.11333333333333336,0.003333333333333327,0.203125,0.16008399160083991,-0.5224804130209297,-0.4,3,1,6,1.0,1.0
ds007406,subjectwise,balanced_accuracy,deepconvnet,mlp,10,0.4966666666666667,0.5599999999999999,-0.06333333333333332,-0.09666666666666668,-0.030000000000000006,0.015625,0.015198480151984802,-1.0990025893735709,-0.56,0,3,7,0.234375,0.22797720227977203
ds007406,subjectwise,balanced_accuracy,deepconvnet,svm_rbf,10,0.4966666666666667,0.5199999999999999,-0.023333333333333327,-0.08333333333333334,0.043333333333333335,0.650390625,0.5623437656234377,-0.216483341609635,-0.17,4,0,6,1.0,1.0
ds007406,subjectwise,balanced_accuracy,deepconvnet,xgboost,10,0.4966666666666667,0.5033333333333333,-0.006666666666666665,-0.056666666666666664,0.046666666666666676,0.984375,0.9343065693430657,-0.07644707871564381,-0.02,4,2,4,1.0,1.0
ds007406,subjectwise,balanced_accuracy,eegnet,logreg,10,0.5366666666666665,0.55,-0.013333333333333341,-0.07333333333333333,0.05333333333333332,0.75,0.7657234276572342,-0.12097167578182685,-0.06,3,1,6,1.0,1.0
ds007406,subjectwise,balanced_accuracy,eegnet,mlp,10,0.5366666666666665,0.5599999999999999,-0.023333333333333338,-0.06000000000000001,0.01999999999999999,0.26953125,0.38396160383961603,-0.33162488197380446,-0.2,2,0,8,1.0,1.0
ds007406,subjectwise,balanced_accuracy,eegnet,svm_rbf,10,0.5366666666666665,0.5199999999999999,0.01666666666666667,-0.05666666666666668,0.09666666666666666,0.71875,0.7625237476252374,0.12654736218287937,0.19,5,0,5,1.0,1.0
ds007406,subjectwise,balanced_accuracy,eegnet,xgboost,10,0.5366666666666665,0.5033333333333333,0.03333333333333333,-0.023333333333333334,0.09,0.375,0.36396360363963604,0.33968311024337877,0.23,6,1,3,1.0,1.0
ds007406,subjectwise,balanced_accuracy,logreg,mlp,10,0.55,0.5599999999999999,-0.009999999999999998,-0.05333333333333332,0.033333333333333326,0.681640625,0.7825217478252174,-0.13552618543578768,-0.26,5,0,5,1.0,1.0
ds007406,subjectwise,balanced_accuracy,logreg,svm_rbf,10,0.55,0.5199999999999999,0.03000000000000001,-0.016666666666666653,0.08333333333333333,0.3125,0.3828617138286171,0.35793785481366974,0.27,4,4,2,1.0,1.0
ds007406,subjectwise,balanced_accuracy,logreg,xgboost,10,0.55,0.5033333333333333,0.046666666666666676,0.0033333333333333383,0.09666666666666668,0.15625,0.16008399160083991,0.5802079121953146,0.31,4,4,2,1.0,1.0
ds007406,subjectwise,balanced_accuracy,mlp,svm_rbf,10,0.5599999999999999,0.5199999999999999,0.04000000000000001,-0.010083333333333304,0.09333333333333335,0.1953125,0.24787521247875213,0.4514128763179673,0.38,5,2,3,1.0,1.0
ds007406,subjectwise,balanced_accuracy,mlp,xgboost,10,0.5599999999999999,0.5033333333333333,0.056666666666666664,0.010000000000000009,0.09666666666666668,0.05078125,0.057194280571942806,0.7679817174694635,0.58,8,0,2,0.7109375,0.8007199280071993
ds007406,subjectwise,balanced_accuracy,svm_rbf,xgboost,10,0.5199999999999999,0.5033333333333333,0.016666666666666663,-0.03000000000000001,0.06333333333333334,0.7734375,0.6263373662633737,0.2070196678027062,0.15,5,2,3,1.0,1.0
neuma,subjectwise,balanced_accuracy,deepconvnet,eegnet,42,0.49994012317965353,0.5004179493801012,-0.000477826200447784,-0.011259922975282421,0.009904255589470848,0.9408311358779429,0.9271072892710729,-0.013664721688199525,-0.05102040816326531,20,0,22,1.0,1.0
neuma,subjectwise,balanced_accuracy,deepconvnet,logreg,42,0.49994012317965353,0.5185012323283624,-0.01856110914870904,-0.038151420110866856,0.00035973435483390196,0.0991903656354225,0.06679332066793321,-0.2923758933699028,-0.3276643990929705,17,0,25,0.991903656354225,0.8015198480151986
neuma,subjectwise,balanced_accuracy,deepconvnet,mlp,42,0.49994012317965353,0.5040692052107828,-0.0041290820311294055,-0.021451564770312233,0.013528291017578353,0.6469152758700147,0.6557344265573443,-0.06942676094913532,-0.15873015873015872,20,0,22,1.0,1.0
