dataset,protocol,metric,a,b,n_pairs,mean_a,mean_b,mean_diff,ci_lo,ci_hi,wilcoxon_p,perm_p,cohen_dz,cliffs_delta,wins,ties,losses,wilcoxon_p_holm,perm_p_holm
ds007406,subjectwise,mcc,deepconvnet,eegnet,10,-0.0006426532270668042,0.08861656937412352,-0.08925922260119033,-0.16731720183932924,-0.01625359180373263,0.099609375,0.065993400659934,-0.6904910002847228,-0.3,3,0,7,1.0,0.857914208579142
ds007406,subjectwise,mcc,deepconvnet,logreg,10,-0.0006426532270668042,0.12064724881785278,-0.1212899020449196,-0.26324767851965625,0.009442277235788811,0.232421875,0.1424857514248575,-0.515057687961875,-0.36,4,0,6,1.0,1.0
ds007406,subjectwise,mcc,deepconvnet,mlp,10,-0.0006426532270668042,0.1505664720815804,-0.1512091253086472,-0.23088142277277157,-0.07006802489158795,0.01953125,0.015198480151984802,-1.1104321446715397,-0.56,2,1,7,0.29296875,0.22797720227977203
ds007406,subjectwise,mcc,deepconvnet,svm_rbf,10,-0.0006426532270668042,0.04925922260119033,-0.049901875828257135,-0.19266058082611162,0.099523495836264,0.482421875,0.5276472352764724,-0.20058274334432147,-0.16,4,0,6,1.0,1.0
ds007406,subjectwise,mcc,deepconvnet,xgboost,10,-0.0006426532270668042,0.0141594830592014,-0.014802136286268214,-0.13627553482998905,0.11334164896481577,0.921875,0.8663133686631337,-0.0694120821152239,0.04,6,0,4,1.0,1.0
ds007406,subjectwise,mcc,eegnet,logreg,10,0.08861656937412352,0.12064724881785278,-0.03203067944372927,-0.16435939582906603,0.11365659147769092,0.8203125,0.663033696630337,-0.132532559545437,-0.12,3,1,6,1.0,1.0
ds007406,subjectwise,mcc,eegnet,mlp,10,0.08861656937412352,0.1505664720815804,-0.06194990270745686,-0.14388289166533003,0.036237111740035695,0.275390625,0.23367663233676633,-0.39605620974557626,-0.18,2,0,8,1.0,1.0
ds007406,subjectwise,mcc,eegnet,svm_rbf,10,0.08861656937412352,0.04925922260119033,0.039357346772933184,-0.13105128369848293,0.22309100312451613,0.751953125,0.6852314768523148,0.13071596040614233,0.16,5,0,5,1.0,1.0
ds007406,subjectwise,mcc,eegnet,xgboost,10,0.08861656937412352,0.0141594830592014,0.07445708631492212,-0.053648284024524505,0.200285285096923,0.359375,0.32256774322567744,0.3371189871053457,0.24,6,1,3,1.0,1.0
ds007406,subjectwise,mcc,logreg,mlp,10,0.12064724881785278,0.1505664720815804,-0.02991922326372758,-0.13934502861413547,0.06830533872362882,0.76953125,0.618938106189381,-0.16870355288518382,-0.26,5,0,5,1.0,1.0
ds007406,subjectwise,mcc,logreg,svm_rbf,10,0.12064724881785278,0.04925922260119033,0.07138802621666247,-0.03366435035520117,0.19268164830227855,0.3828125,0.3147685231476852,0.3682518411743663,0.3,6,2,2,1.0,1.0
ds007406,subjectwise,mcc,logreg,xgboost,10,0.12064724881785278,0.0141594830592014,0.10648776575865138,0.0022776052433324924,0.2219363034438652,0.203125,0.1473852614738526,0.5665985510236091,0.33,4,3,3,1.0,1.0
ds007406,subjectwise,mcc,mlp,svm_rbf,10,0.1505664720815804,0.04925922260119033,0.10130724948039005,-0.0191899166048086,0.2280031843649364,0.2421875,0.16828317168283172,0.48724993917808973,0.43,6,0,4,1.0,1.0
ds007406,subjectwise,mcc,mlp,xgboost,10,0.1505664720815804,0.0141594830592014,0.13640698902237897,0.030723871827541934,0.22875261915729944,0.048828125,0.0375962403759624,0.8109825877810451,0.59,8,0,2,0.68359375,0.5263473652634736
ds007406,subjectwise,mcc,svm_rbf,xgboost,10,0.04925922260119033,0.0141594830592014,0.03509973954198893,-0.06912776840880042,0.1407787030102427,0.80078125,0.5611438856114389,0.1931171911597555,0.14,5,1,4,1.0,1.0
neuma,subjectwise,mcc,deepconvnet,eegnet,42,-0.0004562095048968638,-0.0007419075315001207,0.0002856980266032562,-0.01970474358550658,0.019854139028653912,0.960534398049731,0.9788021197880212,0.00435573589991847,-0.045351473922902494,20,0,22,1.0,1.0
neuma,subjectwise,mcc,deepconvnet,logreg,42,-0.0004562095048968638,0.03544641094725186,-0.035902620452148724,-0.0730593410405179,-0.0005135692108599776,0.07996177975655883,0.061493850614938506,-0.2967552473745022,-0.3401360544217687,16,0,26,0.8795795773221471,0.7379262073792621
neuma,subjectwise,mcc,deepconvnet,mlp,42,-0.0004562095048968638,0.010648656353697647,-0.011104865858594513,-0.04456303244448839,0.021690036197243998,0.5521575472325821,0.5303469653034697,-0.09897581230504687,-0.19387755102040816,19,0,23,1.0,1.0
neuma,subjectwise,mcc,deepconvnet,svm_rbf,42,-0.0004562095048968638,0.00031762008690485464,-0.0007738295918017177,-0.0277739683331914,0.02575142510384628,0.6204215925972676,0.9551044895510449,-0.008591000514257135,-0.007936507936507936,25,0,17,1.0,1.0
neuma,subjectwise,mcc,deepconvnet,xgboost,42,-0.0004562095048968638,0.02573411115995043,-0.026190320664847284,-0.06387651857241605,0.011185950479876146,0.2277620672807643,0.192980701929807,-0.20721699956059883,-0.24489795918367346,17,0,25,1.0,1.0
neuma,subjectwise,mcc,eegnet,logreg,42,-0.0007419075315001207,0.03544641094725186,-0.03618831847875198,-0.067359519902481,-0.004959753347033976,0.0336073353764732,0.030896910308969103,-0.34392327850864424,-0.3129251700680272,14,0,28,0.45550984475903533,0.43255674432556745
