dataset,protocol,metric,a,b,n_pairs,mean_a,mean_b,mean_diff,ci_lo,ci_hi,wilcoxon_p,perm_p,cohen_dz,cliffs_delta,wins,ties,losses,wilcoxon_p_holm,perm_p_holm
ds007406,subjectwise,pr_auc,deepconvnet,eegnet,10,0.6187777777777778,0.706111111111111,-0.08733333333333332,-0.1591194444444444,-0.0181111111111112,0.064453125,0.050294970502949704,-0.7343820455049502,-0.42,2,0,8,0.837890625,0.6538346165383462
ds007406,subjectwise,pr_auc,deepconvnet,logreg,10,0.6187777777777778,0.7248888888888888,-0.10611111111111109,-0.20733611111111105,-0.0064361111111112404,0.083984375,0.0898910108989101,-0.6086761694279875,-0.56,3,0,7,1.0,1.0
ds007406,subjectwise,pr_auc,deepconvnet,mlp,10,0.6187777777777778,0.7261111111111112,-0.10733333333333335,-0.20245,-0.0012138888888890676,0.083984375,0.0893910608939106,-0.6180742882037467,-0.68,2,0,8,1.0,1.0
ds007406,subjectwise,pr_auc,deepconvnet,svm_rbf,10,0.6187777777777778,0.6738888888888889,-0.05511111111111111,-0.15522222222222223,0.04444999999999991,0.431640625,0.3314668533146685,-0.3223359617871124,-0.36,4,0,6,1.0,1.0
ds007406,subjectwise,pr_auc,deepconvnet,xgboost,10,0.6187777777777778,0.6258888888888888,-0.007111111111111124,-0.08956111111111113,0.08156944444444425,0.76953125,0.8823117688231177,-0.04875414795403861,-0.1,5,0,5,1.0,1.0
ds007406,subjectwise,pr_auc,eegnet,logreg,10,0.706111111111111,0.7248888888888888,-0.01877777777777777,-0.09555555555555553,0.05011388888888886,0.76953125,0.6579342065793421,-0.1476428999104525,-0.17,4,0,6,1.0,1.0
ds007406,subjectwise,pr_auc,eegnet,mlp,10,0.706111111111111,0.7261111111111112,-0.020000000000000028,-0.10078333333333336,0.06611944444444429,0.625,0.6577342265773423,-0.13870432392449436,-0.26,3,0,7,1.0,1.0
ds007406,subjectwise,pr_auc,eegnet,svm_rbf,10,0.706111111111111,0.6738888888888889,0.03222222222222221,-0.07522777777777781,0.1485555555555555,0.76953125,0.6177382261773823,0.16964899313621354,0.06,5,0,5,1.0,1.0
ds007406,subjectwise,pr_auc,eegnet,xgboost,10,0.706111111111111,0.6258888888888888,0.0802222222222222,-0.014669444444444438,0.18068055555555534,0.10546875,0.18998100189981001,0.47553590190115197,0.36,8,0,2,1.0,1.0
ds007406,subjectwise,pr_auc,logreg,mlp,10,0.7248888888888888,0.7261111111111112,-0.0012222222222222578,-0.04466666666666667,0.04322499999999991,1.0,0.9672032796720328,-0.016487453699491113,-0.1,5,0,5,1.0,1.0
ds007406,subjectwise,pr_auc,logreg,svm_rbf,10,0.7248888888888888,0.6738888888888889,0.050999999999999976,-0.021894444444444498,0.13445833333333304,0.322265625,0.2695730426957304,0.38171601933122473,0.24,6,0,4,1.0,1.0
ds007406,subjectwise,pr_auc,logreg,xgboost,10,0.7248888888888888,0.6258888888888888,0.09899999999999998,0.023772222222222198,0.17600277777777762,0.048828125,0.041995800419958006,0.7748740821129375,0.5,8,0,2,0.68359375,0.5879412058794121
ds007406,subjectwise,pr_auc,mlp,svm_rbf,10,0.7261111111111112,0.6738888888888889,0.05222222222222224,-0.005677777777777758,0.11533611111111107,0.193359375,0.1441855814418558,0.5070105878871128,0.32,6,0,4,1.0,1.0
ds007406,subjectwise,pr_auc,mlp,xgboost,10,0.7261111111111112,0.6258888888888888,0.10022222222222221,0.023663888888888904,0.16466666666666666,0.037109375,0.036196380361963806,0.8219814842169583,0.58,9,0,1,0.556640625,0.5429457054294571
ds007406,subjectwise,pr_auc,svm_rbf,xgboost,10,0.6738888888888889,0.6258888888888888,0.04799999999999999,-0.024111111111111094,0.1170027777777777,0.232421875,0.2313768623137686,0.39768898387625334,0.28,7,0,3,1.0,1.0
neuma,subjectwise,pr_auc,deepconvnet,eegnet,42,0.3109354470724816,0.31522663959987696,-0.0042911925273953246,-0.015833718946070177,0.007533095772116759,0.33926705757858144,0.4767523247675233,-0.11012215497210279,-0.027210884353741496,16,0,26,1.0,1.0
neuma,subjectwise,pr_auc,deepconvnet,logreg,42,0.3109354470724816,0.34273828198684597,-0.03180283491436432,-0.05253964473025469,-0.01123422358042653,0.003040430364308122,0.0032996700329967,-0.46270646087075246,-0.16780045351473924,13,0,29,0.04560645546462183,0.0494950504949505
neuma,subjectwise,pr_auc,deepconvnet,mlp,42,0.3109354470724816,0.3338774668871184,-0.022942019814636744,-0.04102095954060875,-0.004604141618348894,0.014183732939272886,0.020997900209979003,-0.37096127960177855,-0.14625850340136054,13,0,29,0.18438852821054752,0.24697530246975305
neuma,subjectwise,pr_auc,deepconvnet,svm_rbf,42,0.3109354470724816,0.31233180870383415,-0.0013963616313525417,-0.01760656167643786,0.014391041482218984,0.9113462559957952,0.8645135486451355,-0.02558946971714407,0.0022675736961451248,20,0,22,1.0,1.0
neuma,subjectwise,pr_auc,deepconvnet,xgboost,42,0.3109354470724816,0.3328516651663795,-0.021916218093897877,-0.04248506704266838,-0.0014514124539127698,0.08218940760662008,0.04409559044095591,-0.3153582937473627,-0.08616780045351474,16,0,26,0.6620903448520039,0.426957304269573
neuma,subjectwise,pr_auc,eegnet,logreg,42,0.31522663959987696,0.34273828198684597,-0.027511642386968998,-0.046059933989186896,-0.00923378819460187,0.007091914743341476,0.004999500049995001,-0.4438894699495422,-0.14965986394557823,13,0,29,0.09928680640678067,0.06999300069993002
neuma,subjectwise,pr_auc,eegnet,mlp,42,0.31522663959987696,0.3338774668871184,-0.018650827287241416,-0.03325915558287825,-0.0037940924601954236,0.01892331920362267,0.018998100189981004,-0.37693114876743394,-0.1235827664399093,13,0,29,0.22707983044347202,0.24697530246975305
neuma,subjectwise,pr_auc,eegnet,svm_rbf,42,0.31522663959987696,0.31233180870383415,0.0028948308960427835,-0.013514721073415763,0.01914473580958305,0.6030205487700186,0.7333266673332667,0.05214501443856744,0.032879818594104306,24,0,18,1.0,1.0
neuma,subjectwise,pr_auc,eegnet,xgboost,42,0.31522663959987696,0.3328516651663795,-0.017625025566502556,-0.035322578745720895,-0.00034814201233968067,0.12494005248618123,0.0633936606339366,-0.29661998897677094,-0.07256235827664399,19,0,23,0.8745803674032686,0.5071492850714928
neuma,subjectwise,pr_auc,logreg,mlp,42,0.34273828198684597,0.3338774668871184,0.008860815099727581,-0.00018461238938079512,0.018536747724739202,0.21355242422077936,0.0781921807819218,0.28067243250006885,0.031746031746031744,24,0,18,1.0,0.5071492850714928
neuma,subjectwise,pr_auc,logreg,svm_rbf,42,0.34273828198684597,0.31233180870383415,0.030406473283011787,0.006623881379953536,0.05401717794740649,0.020300298783695325,0.0197980201979802,0.38134514743406883,0.1598639455782313,27,0,15,0.22707983044347202,0.24697530246975305
neuma,subjectwise,pr_auc,logreg,xgboost,42,0.34273828198684597,0.3328516651663795,0.009886616820466449,-0.004294505745211675,0.024153560091488707,0.14475031952133577,0.1932806719328067,0.20648439582833839,0.07256235827664399,26,0,16,0.8745803674032686,0.9664033596640336
neuma,subjectwise,pr_auc,mlp,svm_rbf,42,0.3338774668871184,0.31233180870383415,0.021545658183284206,0.0012441868583070487,0.041440737250723135,0.07356559387244488,0.042695730426957304,0.31967578401767605,0.1326530612244898,25,0,17,0.6620903448520039,0.426957304269573
neuma,subjectwise,pr_auc,mlp,xgboost,42,0.3338774668871184,0.3328516651663795,0.0010258017207388681,-0.010203923304552415,0.013291603658305718,0.9408311358779429,0.8695130486951305,0.02596126467624242,0.03741496598639456,20,0,22,1.0,1.0
neuma,subjectwise,pr_auc,svm_rbf,xgboost,42,0.31233180870383415,0.3328516651663795,-0.02051985646254533,-0.04176819607540603,0.00013132819639396357,0.06200206764924587,0.06469353064693531,-0.29234415211024506,-0.08390022675736962,14,0,28,0.6200206764924587,0.5071492850714928
restaurant_logo,subjectwise,pr_auc,deepconvnet,eegnet,15,0.7135687727481062,0.7222549080646418,-0.008686135316535752,-0.03391772308295442,0.015752146448787113,0.5994873046875,0.516048395160484,-0.17231875607367347,-0.04888888888888889,7,0,8,1.0,1.0
