dataset,protocol,metric,a,b,n_pairs,mean_a,mean_b,mean_diff,ci_lo,ci_hi,wilcoxon_p,perm_p,cohen_dz,cliffs_delta,wins,ties,losses,wilcoxon_p_holm,perm_p_holm
ds007406,subjectwise,roc_auc,deepconvnet,eegnet,10,0.48888888888888893,0.5888888888888888,-0.09999999999999998,-0.1933333333333333,-0.01111111111111111,0.060546875,0.0801919808019198,-0.6476477753892376,-0.41,2,0,8,0.908203125,1.0
ds007406,subjectwise,roc_auc,deepconvnet,logreg,10,0.48888888888888893,0.62,-0.13111111111111112,-0.2733333333333334,0.006666666666666643,0.125,0.13188681131886812,-0.5393684981738928,-0.61,3,0,7,1.0,1.0
ds007406,subjectwise,roc_auc,deepconvnet,mlp,10,0.48888888888888893,0.6088888888888888,-0.12000000000000002,-0.26,0.042222222222222196,0.232421875,0.1807819218078192,-0.466798703466801,-0.62,2,0,8,1.0,1.0
ds007406,subjectwise,roc_auc,deepconvnet,svm_rbf,10,0.48888888888888893,0.5355555555555556,-0.04666666666666667,-0.18666666666666668,0.0888888888888889,0.57421875,0.5532446755324467,-0.19814652084610213,-0.35,4,0,6,1.0,1.0
ds007406,subjectwise,roc_auc,deepconvnet,xgboost,10,0.48888888888888893,0.5344444444444444,-0.04555555555555555,-0.17555555555555552,0.08666666666666667,0.431640625,0.5193480651934806,-0.20606455466782436,-0.25,3,0,7,1.0,1.0
ds007406,subjectwise,roc_auc,eegnet,logreg,10,0.5888888888888888,0.62,-0.031111111111111138,-0.14894444444444452,0.07777777777777778,0.67578125,0.6593340665933407,-0.15892681321527505,-0.26,4,0,6,1.0,1.0
ds007406,subjectwise,roc_auc,eegnet,mlp,10,0.5888888888888888,0.6088888888888888,-0.020000000000000025,-0.15333333333333338,0.11777777777777776,0.984375,0.8021197880211979,-0.08534310106616928,-0.22,5,0,5,1.0,1.0
ds007406,subjectwise,roc_auc,eegnet,svm_rbf,10,0.5888888888888888,0.5355555555555556,0.05333333333333332,-0.09555555555555556,0.21783333333333252,0.697265625,0.5804419558044196,0.2001235712196981,0.05,6,0,4,1.0,1.0
ds007406,subjectwise,roc_auc,eegnet,xgboost,10,0.5888888888888888,0.5344444444444444,0.05444444444444443,-0.09111111111111111,0.20669444444444401,0.4921875,0.5383461653834617,0.21123437010914212,0.19,7,0,3,1.0,1.0
ds007406,subjectwise,roc_auc,logreg,mlp,10,0.62,0.6088888888888888,0.011111111111111118,-0.05333333333333336,0.07999999999999997,0.76953125,0.802019798020198,0.09966832412776438,-0.07,5,0,5,1.0,1.0
