dataset,protocol,model,seed,subject_id,threshold,n_trials,single_class,mcc,kappa,balanced_accuracy,pr_auc,roc_auc,macro_f1,sensitivity,specificity,ece,accuracy
ds007406,subjectwise,deepconvnet,0,sub-001,0.5001766179998717,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.7555555555555555,0.6666666666666667,0.625,0.3333333333333333,1.0,0.15421537496020193,0.6666666666666666
ds007406,subjectwise,deepconvnet,0,sub-002,0.5376644731561343,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.6666666666666667,0.4444444444444444,0.25,0.6666666666666666,0.0,0.0498029606209861,0.3333333333333333
ds007406,subjectwise,deepconvnet,0,sub-003,0.5146971253554027,6,0,-0.7071067811865476,-0.6666666666666667,0.16666666666666666,0.6333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.0,0.017940854860676647,0.16666666666666666
ds007406,subjectwise,deepconvnet,0,sub-004,0.4972964998582999,6,0,0.0,0.0,0.5,0.5555555555555556,0.4444444444444445,0.4857142857142857,0.6666666666666666,0.3333333333333333,0.1547374720374743,0.5
ds007406,subjectwise,deepconvnet,0,sub-005,0.5439655494689941,6,0,0.0,0.0,0.5,0.8055555555555556,0.7777777777777779,0.4857142857142857,0.3333333333333333,0.6666666666666666,0.13375118966731755,0.5
ds007406,subjectwise,deepconvnet,0,sub-006,0.5376644731561343,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.41111111111111115,0.11111111111111112,0.25,0.6666666666666666,0.0,0.0437969285580847,0.3333333333333333
ds007406,subjectwise,deepconvnet,0,sub-007,0.5146971253554027,6,0,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.6388888888888888,0.6666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3131186869820037,0.6666666666666666
ds007406,subjectwise,deepconvnet,0,sub-008,0.5439655494689941,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.6666666666666667,0.4444444444444444,0.625,0.3333333333333333,1.0,0.1932111677196291,0.6666666666666666
ds007406,subjectwise,deepconvnet,0,sub-009,0.5001766179998717,6,0,0.0,0.0,0.5,0.8666666666666667,0.7777777777777778,0.3333333333333333,0.0,1.0,0.19065984948020842,0.5
ds007406,subjectwise,deepconvnet,0,sub-010,0.4972964998582999,6,0,0.0,0.0,0.5,0.7,0.5555555555555556,0.4857142857142857,0.6666666666666666,0.3333333333333333,0.17321610980563695,0.5
ds007406,subjectwise,deepconvnet,1,sub-001,0.57553971717755,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.4777777777777778,0.33333333333333337,0.625,1.0,0.3333333333333333,0.18207579437229368,0.6666666666666666
ds007406,subjectwise,deepconvnet,1,sub-002,0.4924758407473564,6,0,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.5888888888888889,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.014172784984111822,0.6666666666666666
ds007406,subjectwise,deepconvnet,1,sub-003,0.5324472254514694,6,0,0.0,0.0,0.5,0.7555555555555555,0.6666666666666667,0.3333333333333333,1.0,0.0,0.041366001963615395,0.5
ds007406,subjectwise,deepconvnet,1,sub-004,0.5324472254514694,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.6388888888888888,0.6666666666666667,0.625,1.0,0.3333333333333333,0.03792638712459129,0.6666666666666666
ds007406,subjectwise,deepconvnet,1,sub-005,0.518652998705705,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.6388888888888888,0.6666666666666667,0.25,0.0,0.6666666666666666,0.15704618880214793,0.3333333333333333
ds007406,subjectwise,deepconvnet,1,sub-006,0.57553971717755,6,0,0.0,0.0,0.5,0.5,0.33333333333333337,0.3333333333333333,1.0,0.0,0.1734448555443022,0.5
ds007406,subjectwise,deepconvnet,1,sub-007,0.4924758407473564,6,0,-0.3333333333333333,-0.33333333333333326,0.3333333333333333,0.4777777777777778,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3556564877275378,0.3333333333333333
ds007406,subjectwise,deepconvnet,1,sub-008,0.518652998705705,6,0,0.0,0.0,0.5,0.6333333333333333,0.3333333333333333,0.4857142857142857,0.3333333333333333,0.6666666666666666,0.3572683420860106,0.5
ds007406,subjectwise,deepconvnet,1,sub-009,0.5249204239745935,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.8666666666666667,0.7777777777777778,0.625,0.3333333333333333,1.0,0.14945906702842976,0.6666666666666666
ds007406,subjectwise,deepconvnet,1,sub-010,0.5249204239745935,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.5333333333333333,0.4444444444444445,0.625,1.0,0.3333333333333333,0.032812374002403666,0.6666666666666666
ds007406,subjectwise,deepconvnet,2,sub-001,0.5651250656942526,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.9166666666666665,0.888888888888889,0.625,1.0,0.3333333333333333,0.07974895983934405,0.6666666666666666
ds007406,subjectwise,deepconvnet,2,sub-002,0.5497014584143957,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.6388888888888888,0.6666666666666667,0.625,1.0,0.3333333333333333,0.052224773147867776,0.6666666666666666
ds007406,subjectwise,deepconvnet,2,sub-003,0.4101809111237526,6,0,-0.3333333333333333,-0.33333333333333326,0.3333333333333333,0.4666666666666667,0.22222222222222224,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.11854597388042343,0.3333333333333333
