dataset,protocol,model,seed,n_trials,n_subjects,mcc,kappa,balanced_accuracy,pr_auc,roc_auc,macro_f1,sensitivity,specificity,ece,accuracy
ds007406,subjectwise,deepconvnet,0,60,10,-0.033351867298253506,-0.03333333333333344,0.48333333333333334,0.5262208601839926,0.5233333333333333,0.4831897749374826,0.4666666666666667,0.5,0.01912069263230985,0.48333333333333334
ds007406,subjectwise,deepconvnet,1,60,10,0.10283867552865915,0.09999999999999998,0.55,0.5059114472566405,0.4944444444444444,0.5437904815544916,0.6666666666666666,0.43333333333333335,0.07204859332181511,0.55
ds007406,subjectwise,deepconvnet,2,60,10,0.03494282789073061,0.033333333333333326,0.5166666666666666,0.5317205832025669,0.5088888888888888,0.5055413469735721,0.6666666666666666,0.36666666666666664,0.0535119694016046,0.5166666666666667
ds007406,subjectwise,deepconvnet,3,60,10,-0.06726727939963124,-0.06666666666666665,0.4666666666666667,0.4985772484029329,0.45444444444444443,0.4642857142857143,0.5333333333333333,0.4,0.05842382520437238,0.4666666666666667
ds007406,subjectwise,deepconvnet,4,60,10,-0.06917144638660747,-0.06666666666666665,0.4666666666666667,0.5061161348081775,0.5022222222222222,0.4570135746606335,0.3333333333333333,0.6,0.03659015016423335,0.4666666666666667
ds007406,subjectwise,eegnet,0,60,10,0.0,0.0,0.5,0.5476362967261895,0.5566666666666666,0.4791666666666667,0.7,0.3,0.006816826925819915,0.5
ds007406,subjectwise,eegnet,1,60,10,-0.03427955850955305,-0.03333333333333344,0.4833333333333333,0.468319337198812,0.45555555555555555,0.4762038862292312,0.6,0.36666666666666664,0.034476936360092095,0.48333333333333334
ds007406,subjectwise,eegnet,2,60,10,0.21213203435596426,0.19999999999999996,0.6000000000000001,0.6310699759437689,0.5877777777777778,0.5885714285714285,0.7666666666666667,0.43333333333333335,0.08742621033555922,0.6
ds007406,subjectwise,eegnet,3,60,10,0.282842712474619,0.2666666666666667,0.6333333333333333,0.6204257049692976,0.6188888888888888,0.6228571428571429,0.8,0.4666666666666667,0.02937695504916412,0.6333333333333333
ds007406,subjectwise,eegnet,4,60,10,-0.07071067811865475,-0.06666666666666665,0.4666666666666667,0.5291603420316249,0.5111111111111112,0.4514285714285714,0.6333333333333333,0.3,0.020221488657666153,0.4666666666666667
ds007406,subjectwise,logreg,0,60,10,0.06666666666666667,0.06666666666666665,0.5333333333333333,0.5823720244669565,0.5477777777777778,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.36014111714999997,0.5333333333333333
ds007406,subjectwise,logreg,1,60,10,0.10005560189476051,0.09999999999999998,0.55,0.6115929464405155,0.5511111111111111,0.5498749652681301,0.5666666666666667,0.5333333333333333,0.35194707101666667,0.55
ds007406,subjectwise,logreg,2,60,10,0.03427955850955305,0.033333333333333326,0.5166666666666666,0.6572262000250113,0.5888888888888889,0.5099971838918614,0.6333333333333333,0.4,0.3544044638,0.5166666666666667
ds007406,subjectwise,logreg,3,60,10,0.2075143391598224,0.19999999999999996,0.6,0.632069575789306,0.6111111111111112,0.5927601809954751,0.7333333333333333,0.4666666666666667,0.32456972344,0.6
ds007406,subjectwise,logreg,4,60,10,0.11547005383792515,0.09999999999999998,0.55,0.5920478370714417,0.6055555555555555,0.52,0.8,0.3,0.3083805745,0.55
ds007406,subjectwise,mlp,0,60,10,0.036986336072765455,0.033333333333333326,0.5166666666666666,0.5402675376686131,0.5077777777777779,0.49285922471582627,0.7333333333333333,0.3,0.08990607133333334,0.5166666666666667
ds007406,subjectwise,mlp,1,60,10,0.27668578554642986,0.2666666666666667,0.6333333333333333,0.6670412262891414,0.6155555555555555,0.6266968325791855,0.5,0.7666666666666667,0.10793580533333336,0.6333333333333333
ds007406,subjectwise,mlp,2,60,10,0.0,0.0,0.5,0.6430991749440546,0.6111111111111112,0.49776785714285715,0.5666666666666667,0.43333333333333335,0.1603787293333333,0.5
ds007406,subjectwise,mlp,3,60,10,0.167506302543202,0.16666666666666663,0.5833333333333333,0.6283378364919768,0.6066666666666667,0.5822890559732665,0.6333333333333333,0.5333333333333333,0.15112996583333335,0.5833333333333334
ds007406,subjectwise,mlp,4,60,10,0.14547859349066158,0.1333333333333333,0.5666666666666667,0.5627716383869699,0.5622222222222223,0.548611111111111,0.7666666666666667,0.36666666666666664,0.11268896516666668,0.5666666666666667
ds007406,subjectwise,svm_rbf,0,60,10,0.0,0.0,0.5,0.6098496028457322,0.5433333333333333,0.46172248803827753,0.7666666666666667,0.23333333333333334,0.04745724967315199,0.5
ds007406,subjectwise,svm_rbf,1,60,10,0.0,0.0,0.5,0.6042991415051027,0.5588888888888889,0.45054945054945056,0.8,0.2,0.011369527018437391,0.5
ds007406,subjectwise,svm_rbf,2,60,10,0.0519174131651165,0.033333333333333326,0.5166666666666667,0.560314036538618,0.5044444444444445,0.4334093129273852,0.9,0.13333333333333333,0.08665072581201216,0.5166666666666667
ds007406,subjectwise,svm_rbf,3,60,10,0.11547005383792515,0.09999999999999998,0.55,0.5623291741883739,0.6011111111111112,0.52,0.8,0.3,0.1606386810097571,0.55
ds007406,subjectwise,svm_rbf,4,60,10,0.08333333333333333,0.06666666666666665,0.5333333333333333,0.48645392321875935,0.4633333333333333,0.4871794871794872,0.8333333333333334,0.23333333333333334,0.09861836241231173,0.5333333333333333
ds007406,subjectwise,xgboost,0,60,10,0.10050378152592121,0.09999999999999998,0.55,0.56539422890905,0.53,0.5488721804511278,0.5,0.6,0.03852170650000005,0.55
ds007406,subjectwise,xgboost,1,60,10,-0.0668153104781061,-0.06666666666666665,0.4666666666666667,0.5278252464391785,0.5061111111111111,0.4660734149054505,0.5,0.43333333333333335,0.07585434199999996,0.4666666666666667
ds007406,subjectwise,xgboost,2,60,10,-0.13608276348795434,-0.1333333333333333,0.43333333333333335,0.4699993208980733,0.4288888888888889,0.4276094276094276,0.5333333333333333,0.3333333333333333,0.12954701799999996,0.43333333333333335
ds007406,subjectwise,xgboost,3,60,10,0.1345345587992625,0.1333333333333333,0.5666666666666667,0.612198920654803,0.5994444444444444,0.5647321428571428,0.6333333333333333,0.5,0.036030400999999976,0.5666666666666667
ds007406,subjectwise,xgboost,4,60,10,0.0,0.0,0.5,0.5832239438610729,0.5211111111111111,0.4791666666666667,0.7,0.3,0.12008421549999997,0.5
neuma,subjectwise,deepconvnet,0,4708,42,-0.01908462156713017,-0.016650922642925448,0.48910839199067224,0.2532529810667945,0.48885246048109476,0.4592628376230443,0.48810500410172275,0.4901117798796217,0.2716162362366822,0.4895921835174172
neuma,subjectwise,deepconvnet,1,4708,42,0.018746891125545583,0.0155130184523814,0.5106357940613074,0.26765478299590906,0.5182128715327275,0.46323496655833185,0.5701394585726005,0.4511321295500143,0.24251232798703445,0.481945624468989
neuma,subjectwise,deepconvnet,2,4708,42,0.0008852930098548003,0.000807787067329091,0.5005031634639372,0.2639859865096137,0.5110054075964986,0.4795747828397908,0.4552912223133716,0.5457151046145027,0.2794832023847358,0.5223024638912489
neuma,subjectwise,deepconvnet,3,4708,42,-0.018725524513631752,-0.01694336323433876,0.4893398706963947,0.24853523868663668,0.4956785547264331,0.46825285319144155,0.44872846595570137,0.529951275437088,0.2548784332956399,0.5089209855564996
neuma,subjectwise,deepconvnet,4,4708,42,0.005439182736936068,0.004907139402722249,0.5030978645883665,0.26157568831479705,0.512164682110023,0.478966595662485,0.4725184577522559,0.533677271424477,0.2828830610914954,0.5178419711129991
neuma,subjectwise,eegnet,0,4708,42,0.01785173128931514,0.016680863394758938,0.5100698527259351,0.26370893040116516,0.5106406140851442,0.4934514901650088,0.4388843314191961,0.5812553740326741,0.23932298895202755,0.544392523364486
neuma,subjectwise,eegnet,1,4708,42,0.025561599181439222,0.02232044890561624,0.5145882136074681,0.27016064845961507,0.5227469856628979,0.48019325491774223,0.5250205086136177,0.5041559186013185,0.24144521020764295,0.5095581988105352
neuma,subjectwise,eegnet,2,4708,42,-0.02228760921797073,-0.017971010010897626,0.4874296129567884,0.2595521447962522,0.4993136756302651,0.43826168386125086,0.5578342904019689,0.4170249355116079,0.24224492207251822,0.4534834324553951
neuma,subjectwise,eegnet,3,4708,42,-0.018834057727758043,-0.01690671513557085,0.4892659244770451,0.254654048731167,0.4896264857723477,0.4662941529723035,0.45775225594749797,0.5207795930065922,0.23516689430520307,0.5044604927782498
neuma,subjectwise,eegnet,4,4708,42,0.0007192673101335443,0.000650812600165418,0.5004094669030124,0.25776667111809054,0.5036701542478165,0.4774526308178872,0.46513535684987695,0.5356835769561479,0.23635576797973487,0.5174171622769753
neuma,subjectwise,logreg,0,4708,42,0.028185795137871544,0.02458639487050751,0.5160855951589092,0.27003068715953593,0.5211716607991693,0.48114562478362444,0.5283018867924528,0.5038693035253654,0.24489911983007645,0.510195412064571
neuma,subjectwise,logreg,1,4708,42,0.0405449406888108,0.03393605008207856,0.5230493539874881,0.28093632410675506,0.5341515147453935,0.4760770649117253,0.5783429040196882,0.46775580395528804,0.2457313805203908,0.4963891248937978
neuma,subjectwise,logreg,2,4708,42,0.02996327718563813,0.027150924506021412,0.5170533618960893,0.2828403523484829,0.5321970538603571,0.49165335071888516,0.48810500410172275,0.5460017196904557,0.23799497150169927,0.5310110450297366
neuma,subjectwise,logreg,3,4708,42,0.021123717020706007,0.018825410483225946,0.5120477083608133,0.2731864060835435,0.5238173836393343,0.4833010817278915,0.4995898277276456,0.524505588993981,0.23703488183729823,0.5180543755310111
neuma,subjectwise,logreg,4,4708,42,0.04939429686715254,0.041794002184816326,0.5281243688413909,0.2794329879582978,0.533081469453628,0.48296870354460386,0.5758818703855619,0.48036686729721984,0.24037381420773152,0.5050977060322854
neuma,subjectwise,mlp,0,4708,42,0.002493983616431524,0.0023890068007585974,0.5013864034416381,0.2701763192847756,0.5123337356289813,0.49186835501551873,0.3888433141919606,0.6139294926913156,0.23753770797790993,0.5556499575191164
neuma,subjectwise,mlp,1,4708,42,0.019223872952606604,0.01764427636146826,0.5109104178584469,0.2687478590986111,0.5163987791467429,0.48974093417750586,0.4634946677604594,0.5583261679564345,0.23964956826465592,0.5337723024638913
neuma,subjectwise,mlp,2,4708,42,0.024753818841958583,0.022056291450935017,0.5141183200641604,0.2791154221359309,0.5255007475739409,0.48495593915982615,0.5028712059064807,0.5253654342218401,0.24032524776975364,0.5195412064570943
neuma,subjectwise,mlp,3,4708,42,0.010712831429275031,0.009113695363950125,0.5061036784776061,0.2687899060843525,0.5135067648446741,0.4666897189604171,0.5381460213289582,0.47406133562625397,0.23904322680543755,0.49065420560747663
neuma,subjectwise,mlp,4,4708,42,0.02121504928017308,0.016852793971214308,0.5119163921016503,0.2797955359745478,0.5265095432945122,0.45373496402266267,0.6062346185397867,0.4175981656635139,0.2321728408453696,0.46644010195412067
neuma,subjectwise,svm_rbf,0,4708,42,-0.006779919530401124,-0.0067272760351413385,0.49682666089204297,0.26491337117290137,0.4916603007083554,0.4952228499450795,0.20918785890073832,0.7844654628833476,0.005210328935730365,0.6355140186915887
neuma,subjectwise,svm_rbf,1,4708,42,-0.02543782058942676,-0.025391699167003567,0.4869246860694963,0.24148659677074788,0.46605986093408297,0.4869368242490705,0.26333059885151766,0.7105187732874749,0.002093563935391707,0.594732370433305
neuma,subjectwise,svm_rbf,2,4708,42,0.0029857023816006697,0.002705953096812874,0.5016992347448008,0.24572117554883763,0.4789196845306155,0.47892394327980037,0.46513535684987695,0.5382631126397248,0.004315146878612031,0.5193288020390824
neuma,subjectwise,svm_rbf,3,4708,42,0.023463051271250177,0.02272730565211789,0.5129102575044833,0.2504646576758627,0.48495741097474754,0.5046982157856358,0.3863822805578343,0.6394382344511321,0.005694977382388361,0.5739167374681393
neuma,subjectwise,svm_rbf,4,4708,42,0.011851918135782282,0.00882330057956815,0.5065060916871988,0.25012645896096924,0.4806948640412349,0.4328715464562579,0.6464315012305168,0.3665806821438808,0.005532393176452261,0.4390399320305862
neuma,subjectwise,xgboost,0,4708,42,0.019183583300334813,0.017886277984560328,0.5108309462459186,0.27034080743545774,0.5075034839367415,0.49356383826205685,0.44298605414273995,0.5786758383490972,0.21407218255947322,0.5435429056924383
neuma,subjectwise,xgboost,1,4708,42,0.02867795562394531,0.02607031109522817,0.5163120187176808,0.27783590774983463,0.5163421144762714,0.49185478842918817,0.4831829368334701,0.5494411006018917,0.22558471398045873,0.532285471537808
neuma,subjectwise,xgboost,2,4708,42,0.036446862262901815,0.034948483758080684,0.5202442176760385,0.27451816422991426,0.5225423109921701,0.5086785234854947,0.41509433962264153,0.6253940957294354,0.2185858934367034,0.5709430756159728
neuma,subjectwise,xgboost,3,4708,42,0.040722036898643246,0.03808055311912262,0.522962946243097,0.2800503813074239,0.5253862426174281,0.5046514126114513,0.45693191140278916,0.588993981083405,0.22462855229184364,0.5548003398470688
neuma,subjectwise,xgboost,4,4708,42,0.0144972181693386,0.013714739838925682,0.5081273831197122,0.27160044005977724,0.5168917147552216,0.4947894183610507,0.41837571780147664,0.5978790484379478,0.2178979948406967,0.5514018691588785
restaurant_logo,subjectwise,deepconvnet,0,440,15,-0.019518001458970664,-0.018181818181818077,0.4895238095238095,0.6648149563872272,0.4759047619047619,0.4735042735042735,0.49333333333333335,0.4857142857142857,0.1754312639566541,0.4909090909090909
restaurant_logo,subjectwise,deepconvnet,1,440,15,0.018739139666284453,0.01856884057971009,0.5097619047619047,0.7224689909659127,0.5487142857142857,0.5072508257016332,0.6266666666666667,0.39285714285714285,0.15759036165069454,0.5522727272727272
restaurant_logo,subjectwise,deepconvnet,2,440,15,-0.07328416800608244,-0.06696428571428581,0.46071428571428574,0.6748117089691008,0.4716666666666667,0.44312350732634675,0.45,0.4714285714285714,0.17048293759721814,0.45681818181818185
restaurant_logo,subjectwise,deepconvnet,3,440,15,0.03950444100560739,0.03897849462365588,0.5207142857142857,0.6689529256088441,0.49476190476190474,0.5165407305982386,0.62,0.42142857142857143,0.1693749322809957,0.5568181818181818
restaurant_logo,subjectwise,deepconvnet,4,440,15,-0.04569033906175434,-0.04263245033112595,0.4754761904761905,0.646540722526693,0.4684047619047619,0.4612888221173124,0.4866666666666667,0.4642857142857143,0.15832491226028644,0.47954545454545455
restaurant_logo,subjectwise,eegnet,0,440,15,0.01777009222950583,0.01686340640809436,0.5095238095238095,0.6909946557985236,0.5113333333333334,0.4961541785498228,0.5333333333333333,0.4857142857142857,0.18516889883074772,0.5181818181818182
restaurant_logo,subjectwise,eegnet,1,440,15,0.006684386447733116,0.006421232876712368,0.5035714285714286,0.6840338797284435,0.5195714285714286,0.4937813183277989,0.55,0.45714285714285713,0.1682399451563304,0.5204545454545455
restaurant_logo,subjectwise,eegnet,2,440,15,0.031943828249996996,0.029950083194675625,0.5171428571428571,0.6738219989963377,0.504404761904762,0.4999571146753581,0.52,0.5142857142857142,0.18050425616798524,0.5181818181818182
restaurant_logo,subjectwise,eegnet,3,440,15,0.02396976390165164,0.022022838499184405,0.5128571428571429,0.6665975658395442,0.5126904761904763,0.4909137228260869,0.49,0.5357142857142857,0.20833700810925979,0.5045454545454545
restaurant_logo,subjectwise,eegnet,4,440,15,-0.07103188849707023,-0.07065217391304346,0.46595238095238095,0.6416652635761659,0.45583333333333326,0.4634777387827357,0.7033333333333334,0.22857142857142856,0.1730095222140803,0.5522727272727272
restaurant_logo,subjectwise,logreg,0,440,15,0.08162410634052437,0.07578253706754534,0.5438095238095237,0.7664381158277362,0.5867619047619048,0.5213208472876981,0.5233333333333333,0.5642857142857143,0.20764612169545452,0.5363636363636364
restaurant_logo,subjectwise,logreg,1,440,15,0.045248145906160255,0.04228855721393021,0.5242857142857142,0.7599214857001126,0.5718571428571428,0.5055544853271688,0.52,0.5285714285714286,0.19964275072090912,0.5227272727272727
restaurant_logo,subjectwise,logreg,2,440,15,0.12527915021801608,0.11888701517706568,0.5671428571428572,0.802046283443038,0.6279523809523809,0.548440065681445,0.57,0.5642857142857143,0.1745595299636364,0.5681818181818182
restaurant_logo,subjectwise,logreg,3,440,15,0.10610706030924819,0.10025167785234912,0.5569047619047619,0.7459212968434182,0.5662142857142857,0.5379122033186305,0.5566666666666666,0.5571428571428572,0.21030329922727267,0.5568181818181818
restaurant_logo,subjectwise,logreg,4,440,15,0.15082830715620535,0.14413265306122447,0.5807142857142857,0.799154918673638,0.6412142857142857,0.5628450901509845,0.59,0.5714285714285714,0.16542268685227274,0.5840909090909091
restaurant_logo,subjectwise,mlp,0,440,15,0.04441804923995189,0.03879310344827591,0.5235714285714286,0.7091720353778899,0.516547619047619,0.48733221520343173,0.44,0.6071428571428571,0.20174115918181823,0.49318181818181817
restaurant_logo,subjectwise,mlp,1,440,15,0.008875120123483692,0.008347245409014992,0.5047619047619047,0.7044532795273855,0.5146904761904763,0.4895920603209384,0.5166666666666667,0.4928571428571429,0.1999947599318182,0.509090909090909
restaurant_logo,subjectwise,mlp,2,440,15,0.03066135249275642,0.029138513513513375,0.5164285714285715,0.7143443420274469,0.5151666666666666,0.5027872247243865,0.54,0.4928571428571429,0.22361191054545457,0.525
