dataset,protocol,model,metric,n_participants,n_single_class_excluded,participant_mean,ci_lo,ci_hi,pooled_mean_over_seeds,pooled_sd_over_seeds,n_seeds
ds007406,subjectwise,deepconvnet,mcc,10,0,-0.0006426532270668042,-0.09529514864488357,0.08716511385665911,-0.00640181793302049,0.06635329828512826,5
ds007406,subjectwise,eegnet,mcc,10,0,0.08861656937412352,-0.03103838065453038,0.20015383090453312,0.07799690204047509,0.1419559822565097,5
ds007406,subjectwise,logreg,mcc,10,0,0.12064724881785278,0.04033229812666162,0.22048484792640075,0.10479724401374557,0.05850449311371838,5
ds007406,subjectwise,mlp,mcc,10,0,0.1505664720815804,0.05252912663372169,0.2300941216444276,0.12533140353061178,0.09859573213936106,5
ds007406,subjectwise,svm_rbf,mcc,10,0,0.04925922260119033,-0.03041307486293403,0.12957417329238147,0.05014416006727499,0.04560923508078755,5
ds007406,subjectwise,xgboost,mcc,10,0,0.0141594830592014,-0.05801999801238822,0.081141534102946,0.006428053271824652,0.10097203820939683,5
neuma,subjectwise,deepconvnet,mcc,42,0,-0.0004562095048968638,-0.02255055986078946,0.021906413438035576,-0.002547755841685094,0.01458922293310464,5
neuma,subjectwise,eegnet,mcc,42,0,-0.0007419075315001207,-0.019315566232640344,0.017365797216068176,0.0006021861670318272,0.01909053756418906,5
neuma,subjectwise,logreg,mcc,42,0,0.03544641094725186,0.008815491226272211,0.06099458655588111,0.03384240538003581,0.00995585472929883,5
neuma,subjectwise,mlp,mcc,42,0,0.010648656353697647,-0.014040074602713466,0.033621951688511065,0.015679911224088967,0.008050761281433852,5
neuma,subjectwise,svm_rbf,mcc,42,0,0.00031762008690485464,-0.015044454044965756,0.016146808131505846,0.0012165863337610491,0.016646601880307005,5
neuma,subjectwise,xgboost,mcc,42,0,0.02573411115995043,0.000967379969684206,0.050580861033641754,0.02790553125103276,0.009936488591377053,5
restaurant_logo,subjectwise,deepconvnet,mcc,15,0,-0.01514879501868391,-0.057459667535807224,0.03017012983238132,-0.016049785570983122,0.04114099385065828,5
restaurant_logo,subjectwise,eegnet,mcc,15,0,0.04572845057939223,-0.011569486234804484,0.10284284050401148,0.00186723646636347,0.03737247989670378,5
restaurant_logo,subjectwise,logreg,mcc,15,0,0.1348480889595505,0.033405323638273164,0.24217644178621645,0.10181735398603084,0.036273333308854135,5
restaurant_logo,subjectwise,mlp,mcc,15,0,0.05916201716910095,-0.006741767108387982,0.12605715178956242,0.0445468522876931,0.025455875442977813,5
restaurant_logo,subjectwise,svm_rbf,mcc,15,0,0.04589715614377917,-0.006937027942558952,0.1007622246792356,-0.007848414067582674,0.020073999821139065,5
restaurant_logo,subjectwise,xgboost,mcc,15,0,0.06762991772161693,0.012784281764859028,0.11938591808488619,0.053580787961938416,0.04055541239425207,5
ds007406,subjectwise,deepconvnet,roc_auc,10,0,0.48888888888888893,0.44000000000000006,0.5488888888888889,0.4966666666666666,0.023147407395555174,5
ds007406,subjectwise,eegnet,roc_auc,10,0,0.5888888888888888,0.4844444444444444,0.7066666666666667,0.546,0.057566279567207355,5
ds007406,subjectwise,logreg,roc_auc,10,0,0.62,0.49772222222222223,0.7422222222222222,0.5808888888888889,0.026716619879351835,5
ds007406,subjectwise,mlp,roc_auc,10,0,0.6088888888888888,0.4666666666666667,0.711166666666666,0.5806666666666667,0.041165729484009074,5
ds007406,subjectwise,svm_rbf,roc_auc,10,0,0.5355555555555556,0.42000000000000004,0.6422222222222222,0.5342222222222223,0.04706916371510659,5
ds007406,subjectwise,xgboost,roc_auc,10,0,0.5344444444444444,0.4522222222222222,0.6222222222222223,0.5171111111111111,0.05452533673145919,5
neuma,subjectwise,deepconvnet,roc_auc,42,0,0.497483706605787,0.4807617691710533,0.5138700720448922,0.5051827952893554,0.011040315830552904,5
