dataset,distance_m,method,sources,subject_id,target
neuma,0.0,present,Fz,S01,Fz
neuma,0.0,present,Cz,S01,Cz
neuma,0.0,present,Pz,S01,Pz
neuma,0.0,present,F3,S01,F3
neuma,0.0,present,F4,S01,F4
neuma,0.0,present,O1,S01,O1
neuma,0.0,present,O2,S01,O2
restaurant_logo,0.0,present,Fz,S1,Fz
restaurant_logo,0.0,present,Cz,S1,Cz
restaurant_logo,0.0,present,Pz,S1,Pz
restaurant_logo,0.0701,nearest_neighbour,C3,S1,F3
restaurant_logo,0.0707,nearest_neighbour,C4,S1,F4
restaurant_logo,0.0301,mean_of_equidistant_neighbours,Oz+PO7,S1,O1
restaurant_logo,0.0302,mean_of_equidistant_neighbours,Oz+PO8,S1,O2
ds007406,0.0595,mean_of_equidistant_neighbours,AF3+AF4,sub-001,Fz
ds007406,0.112,mean_of_equidistant_neighbours,FC5+FC6,sub-001,Cz
ds007406,0.1122,mean_of_equidistant_neighbours,P7+P8,sub-001,Pz
ds007406,0.0,present,F3,sub-001,F3
ds007406,0.0,present,F4,sub-001,F4
ds007406,0.0,present,O1,sub-001,O1
ds007406,0.0,present,O2,sub-001,O2
