dataset,features_finite,file,n_native_ch,n_neg,n_pos,n_trials,n_windows,native_channels,note_effective_sfreq,note_inbox_frac_xoff0,note_inbox_frac_xoff1920,note_n_aligned_kept,note_n_pages,note_n_paired_trials,note_n_presses,note_n_presses_dropped,note_n_selected_products,note_n_sheet_rows,note_n_source_epochs,note_n_start_markers,note_naive_positional_agreement,note_sheet_retention,note_skipped_edge_epochs,sfreq,subject_id
neuma,True,/mnt/Neuma_Model/DataSource/S01.xdf,20,54,15,69,69,P3|C3|F3|Fz|F4|C4|P4|Cz|Pz|Fp1|Fp2|T3|T5|O1|O2|F7|F8|A2|T6|T4,299.995,0.8959,0.0,,16,,,,12,,,,,,0,300.0,S01
neuma,True,/mnt/Neuma_Model/DataSource/S02.xdf,20,42,21,63,63,P3|C3|F3|Fz|F4|C4|P4|Cz|Pz|Fp1|Fp2|T3|T5|O1|O2|F7|F8|A2|T6|T4,300.0,0.8758,0.0,,7,,,,15,,,,,,0,300.0,S02
neuma,True,/mnt/Neuma_Model/DataSource/S03.xdf,20,49,16,65,65,P3|C3|F3|Fz|F4|C4|P4|Cz|Pz|Fp1|Fp2|T3|T5|O1|O2|F7|F8|A2|T6|T4,299.993,0.8249,0.0306,,7,,,,15,,,,,,0,300.0,S03
neuma,True,/mnt/Neuma_Model/DataSource/S05.xdf,20,72,13,85,85,P3|C3|F3|Fz|F4|C4|P4|Cz|Pz|Fp1|Fp2|T3|T5|O1|O2|F7|F8|A2|T6|T4,299.994,0.7918,0.034,,9,,,,8,,,,,,0,300.0,S05
neuma,True,/mnt/Neuma_Model/DataSource/S06.xdf,20,99,40,139,139,P3|C3|F3|Fz|F4|C4|P4|Cz|Pz|Fp1|Fp2|T3|T5|O1|O2|F7|F8|A2|T6|T4,299.997,0.8363,0.0044,,7,,,,23,,,,,,0,300.0,S06
neuma,True,/mnt/Neuma_Model/DataSource/S07.xdf,20,70,16,86,86,P3|C3|F3|Fz|F4|C4|P4|Cz|Pz|Fp1|Fp2|T3|T5|O1|O2|F7|F8|A2|T6|T4,300.004,0.8594,0.0,,7,,,,12,,,,,,0,300.0,S07
neuma,True,/mnt/Neuma_Model/DataSource/S08.xdf,20,62,21,83,83,P3|C3|F3|Fz|F4|C4|P4|Cz|Pz|Fp1|Fp2|T3|T5|O1|O2|F7|F8|A2|T6|T4,299.997,0.8759,0.0069,,19,,,,13,,,,,,0,300.0,S08
neuma,True,/mnt/Neuma_Model/DataSource/S09.xdf,20,92,28,120,120,P3|C3|F3|Fz|F4|C4|P4|Cz|Pz|Fp1|Fp2|T3|T5|O1|O2|F7|F8|A2|T6|T4,300.0,0.5788,0.0666,,11,,,,19,,,,,,0,300.0,S09
neuma,True,/mnt/Neuma_Model/DataSource/S10.xdf,20,221,52,273,273,P3|C3|F3|Fz|F4|C4|P4|Cz|Pz|Fp1|Fp2|T3|T5|O1|O2|F7|F8|A2|T6|T4,300.005,0.7534,0.0376,,12,,,,22,,,,,,0,300.0,S10
neuma,True,/mnt/Neuma_Model/DataSource/S12.xdf,20,75,28,103,103,P3|C3|F3|Fz|F4|C4|P4|Cz|Pz|Fp1|Fp2|T3|T5|O1|O2|F7|F8|A2|T6|T4,299.995,0.874,0.0,,7,,,,21,,,,,,0,300.0,S12
